business_id,county,sector,business_age_months,employees,monthly_revenue_kes,monthly_expenses_kes,total_assets_kes,total_liabilities_kes,loan_amount_kes,mpesa_volume_kes,expense_ratio,debt_to_asset_ratio,age_risk_factor,mpesa_dependency,distress_label
MSME_00013,Machakos,Digital Commerce,88,1,106787.32,68333.85,2648248.63,438349.42,187939.11,64631.47,0.6399000377569383,0.16552420702122406,0.011235955056179775,0.6052297667010774,0
MSME_00014,Kakamega,Food Services,117,2,67449.24,53628.61,4359584.44,1758244.65,0.0,61406.99,0.795084050108643,0.4033054688796281,0.00847457627118644,0.9104043217637179,0
MSME_00015,Nyeri,Food Services,100,2,20370.05,12526.79,1026160.17,246595.73,72225.98,17426.98,0.6149309927568781,0.24030896628060872,0.009900990099009901,0.8554777490605541,0
MSME_00016,Meru,Manufacturing,104,1,243870.49,220520.12,193389.13,119814.38,93653.02,124238.22,0.9042472328356218,0.6195475436104211,0.009523809523809525,0.5094413455217747,1
MSME_00017,Nyeri,Construction,24,2,26157.03,18736.95,171793.88,121332.18,0.0,24136.04,0.716298207472046,0.7062619095516699,0.04,0.9227009832162438,0
MSME_00018,Mombasa,Transport,3,2,60276.99,45681.02,1240131.97,369403.77,0.0,55866.91,0.7578391382990707,0.2978743239122173,0.25,0.926821050270588,0
MSME_00019,Kisumu,Services,22,2,205426.7,226125.37,193240.38,129530.9,186938.66,135558.38,1.1007540365783193,0.6703062253022618,0.043478260869565216,0.6598836476288251,1
MSME_00020,Thika,Retail,53,5,80766.99,70796.25,145498.91,66559.23,0.0,40747.61,0.876538465300424,0.45745203553734154,0.018518518518518517,0.5045019691588214,1
MSME_00021,Nairobi,Construction,2,1,155928.35,116627.8,2106399.0,688506.05,0.0,116734.48,0.7479528388978727,0.3268638672616787,0.3333333333333333,0.7486369948954446,0
MSME_00022,Machakos,Digital Commerce,88,3,39588.92,36784.2,420602.22,218175.35,0.0,36071.61,0.9291304453254767,0.5187201134599018,0.011235955056179775,0.9111311667212261,0
MSME_00023,Nyeri,Retail,108,3,94046.12,66859.2,13300074.41,5369507.57,76318.32,52289.47,0.7109117216986549,0.4037200846216856,0.009174311926605505,0.5559922515436944,0
MSME_00024,Thika,Transport,30,3,156903.42,100562.17,331386.67,94112.82,0.0,120145.56,0.6409135574383437,0.28399614264465545,0.03225806451612903,0.7657245092266999,0
MSME_00025,Eldoret,Agriculture,38,3,51458.32,31466.69,401583.04,283307.13,33674.72,42674.19,0.611486704449262,0.7054740771072476,0.02564102564102564,0.8292800993095129,0
MSME_00026,Kakamega,Transport,2,2,719537.18,808285.6,1122483.32,828414.38,730153.22,403380.05,1.1233394175136056,0.7380186655970392,0.3333333333333333,0.5606096538198987,1
MSME_00027,Eldoret,Retail,64,10,70444.19,70341.06,932363.53,690181.91,127213.48,51492.8,0.9985218295244855,0.7402489989618116,0.015384615384615385,0.7309626107900341,1
MSME_00028,Machakos,Food Services,60,3,528827.09,549965.09,659328.83,267499.09,3249.16,285546.49,1.039969510696756,0.40571361680996604,0.01639344262295082,0.5399608973116387,1
MSME_00029,Machakos,Services,21,2,112667.29,128384.91,640781.86,150982.79,595563.76,84630.8,1.1394946173408687,0.2356223916476168,0.045454545454545456,0.7511501239612317,1
MSME_00030,Kisumu,Transport,33,10,27764.8,30885.45,35726329.15,27592480.97,187314.53,19406.26,1.1123558478415894,0.7723290036830162,0.029411764705882353,0.6989267372090845,1
MSME_00031,Meru,Manufacturing,76,3,42748.92,42975.59,5351701.09,1944867.59,80493.44,26466.46,1.0052788402878883,0.36341103396508384,0.012987012987012988,0.6190996380811941,0
MSME_00032,Kisumu,Food Services,58,1,158907.78,155998.64,2007154.33,1401903.85,0.0,140456.4,0.9816867261834117,0.6984530938121266,0.01694915254237288,0.8838806767001798,1
MSME_00033,Kakamega,Manufacturing,22,1,374286.1,293914.71,167626.87,126384.03,6938.15,251447.37,0.7852654018800008,0.7539559501650889,0.043478260869565216,0.6718034631703845,1
MSME_00034,Machakos,Manufacturing,108,1,782130.69,514023.71,667508.32,476949.38,23207.51,637372.13,0.6572086473059289,0.7145209298351071,0.009174311926605505,0.8149166414673724,0
MSME_00035,Nyeri,Digital Commerce,89,15,151481.49,138688.48,1611463.2,663672.78,3361.34,129638.95,0.9155413275818216,0.4118445696776882,0.011111111111111112,0.8558015517172975,1
MSME_00036,Meru,Transport,49,5,41058.63,37648.27,1790244.82,1522448.15,0.0,23829.71,0.916916932763398,0.8504129058656312,0.02,0.5803683569481751,1
MSME_00037,Meru,Manufacturing,91,25,176043.27,197825.19,3379130.07,2122532.75,0.0,97457.74,1.12372410644209,0.6281297487522436,0.010869565217391304,0.5535979103438017,1
MSME_00038,Nairobi,Construction,59,3,58383.31,49241.3,337937.62,189446.83,14881.25,29397.5,0.8433995366220823,0.5605953826762978,0.016666666666666666,0.5035171264334545,1
MSME_00039,Nairobi,Agriculture,42,2,197242.97,193287.1,696453.9,458494.6,0.0,125764.79,0.979939209294966,0.6583263324014232,0.023255813953488372,0.6376103157931773,1
MSME_00040,Kisumu,Transport,92,1,51975.38,47621.6,294779.28,40025.63,54123.24,45072.01,0.9162161735773057,0.13578123339865203,0.010752688172043012,0.8671633153366972,0
MSME_00041,Nyeri,Retail,60,3,16488.69,11496.21,3618956.31,1492500.93,259640.1,13978.2,0.6971756291355387,0.41241186401284186,0.01639344262295082,0.8476933162479102,0
MSME_00042,Kisumu,Agriculture,80,3,497253.71,460275.62,1687219.56,1358167.41,0.0,443705.79,0.9256335048088332,0.8049732454659039,0.012345679012345678,0.8923108842950929,1
MSME_00043,Kisumu,Food Services,15,50,106253.53,95316.24,396800.56,90813.27,0.0,89494.17,0.8970557772925071,0.22886318793706356,0.0625,0.8422621604932985,0
MSME_00044,Nakuru,Transport,62,1,140036.77,122062.81,955369.52,412261.55,0.0,71530.25,0.8716420577105735,0.4315200661623932,0.015873015873015872,0.5107925526091996,0
MSME_00045,Machakos,Retail,62,2,361024.6,318561.83,774808.58,328672.55,0.0,243143.91,0.8823801691625194,0.42419783968081554,0.015873015873015872,0.6734810772421679,0
MSME_00046,Nairobi,Services,47,3,872263.39,602030.42,253744.11,97649.2,74053.97,438458.24,0.6901925917209575,0.3848318495674656,0.020833333333333332,0.5026666742637516,0
MSME_00047,Nakuru,Retail,62,3,273780.14,234058.13,2227074.67,1224626.19,39719.53,141331.59,0.8549096186830107,0.5498808174757708,0.015873015873015872,0.5162210589085866,0
MSME_00048,Nakuru,Transport,51,3,147709.33,137828.95,800002.8,717569.26,62753.84,105664.08,0.9331029860944731,0.8969573144527563,0.019230769230769232,0.7153465840879241,0
MSME_00049,Machakos,Agriculture,108,5,211688.87,183999.34,386472.45,117750.07,11118.35,140138.56,0.8691929377631532,0.3046782903198137,0.009174311926605505,0.6619993672819583,0
MSME_00050,Nyeri,Services,55,1,99232.11,86210.62,248567.25,165040.13,2269.78,74556.61,0.8687687002856204,0.6639630363089414,0.017857142857142856,0.7513279589846574,1
MSME_00051,Nakuru,Construction,116,5,138152.63,88781.68,2034001.58,1436810.58,20056.45,73189.45,0.6426300923110018,0.7063956526544819,0.008547008547008548,0.5297685627225285,0
MSME_00052,Machakos,Retail,64,3,154023.99,108575.48,1006278.71,571162.57,72126.41,117787.54,0.7049211949307707,0.567598217795726,0.015384615384615385,0.7647300610115281,0
MSME_00053,Kisumu,Transport,3,15,60680.32,47120.39,316923.51,56406.22,69609.16,32115.12,0.7765221653055668,0.1779799864642845,0.25,0.5292422775246155,0
MSME_00054,Kakamega,Transport,101,10,136103.87,113053.43,401353.4,223914.58,21063.84,94001.21,0.8306347157159034,0.5578974093718668,0.00980392156862745,0.6906528032391495,0
MSME_00055,Nyeri,Construction,51,2,192355.76,178249.46,734264.12,633502.22,48084.58,126677.99,0.9266607526556383,0.862770411864314,0.019230769230769232,0.6585575157327458,1
MSME_00056,Meru,Manufacturing,7,1,223466.52,240190.71,787463.63,294234.3,0.0,134253.45,1.0748349916802227,0.3736476392596833,0.125,0.6007738842763369,0
MSME_00057,Thika,Transport,21,50,206348.92,141873.26,918470.72,561874.92,30920.64,132143.18,0.6875372667941911,0.6117498315571437,0.045454545454545456,0.6403839652566863,1
MSME_00058,Nakuru,Digital Commerce,73,2,34925.58,21245.18,87288.31,75724.2,165139.33,17471.03,0.6082811429003355,0.8675082893884715,0.013513513513513514,0.5002216077268372,1
MSME_00059,Nakuru,Retail,39,15,455549.17,385886.78,842808.45,622323.21,7327.84,294212.83,0.847078555584778,0.7383913528734164,0.025,0.6458406765603886,1
MSME_00060,Nairobi,Services,18,1,419274.55,351208.09,168892.74,109889.42,349428.71,224430.86,0.8376545925465962,0.6506423506282708,0.05263157894736842,0.5352824890456884,0
MSME_00061,Thika,Manufacturing,4,3,121037.0,109362.46,4004002.47,3511186.25,44743.49,110698.74,0.9035382276640395,0.8769188828899791,0.2,0.9145783968670996,1
MSME_00062,Kisumu,Retail,89,10,210135.68,222380.7,2549764.58,602933.56,409414.14,112096.84,1.058266933692871,0.23646627153857808,0.011111111111111112,0.5334472782191095,0
MSME_00063,Kisumu,Agriculture,60,25,107306.69,111738.27,2922869.8,2099202.26,0.0,99676.93,1.041288560027711,0.7181987859333364,0.01639344262295082,0.9288889733811247,1
MSME_00064,Nairobi,Agriculture,14,2,282648.02,185141.18,38151.78,16232.38,0.0,203829.32,0.6550214821194144,0.42545733233593985,0.06666666666666667,0.721139312635862,0
MSME_00065,Nyeri,Retail,114,5,59025.7,65736.77,509396.41,197821.73,0.0,43143.53,1.1136785556366866,0.3883445932714892,0.008695652173913044,0.7309155009512645,1
MSME_00066,Meru,Digital Commerce,9,2,510150.26,337070.52,664234.84,343102.54,0.0,436003.28,0.6607266244917243,0.5165372287047926,0.1,0.8546549115648563,0
MSME_00067,Kisumu,Digital Commerce,90,1,268930.33,255218.59,1454242.6,184690.04,30873.18,218619.08,0.9490102547739603,0.12700075833237293,0.01098901098901099,0.8129178552755455,0
MSME_00068,Nyeri,Food Services,53,3,275249.65,266943.57,2150152.81,752604.44,0.0,166987.77,0.9698199441127568,0.35002353622320626,0.018518518518518517,0.606675297587853,1
MSME_00069,Meru,Food Services,2,3,119964.02,116836.87,3407708.97,793902.12,0.0,61356.78,0.9739244823199296,0.23297232657390732,0.3333333333333333,0.5114555893042821,1
MSME_00070,Kisumu,Food Services,84,25,32447.59,24204.06,45260.67,9547.86,9877.89,27590.26,0.7459202387530552,0.21094802732643317,0.011764705882352941,0.8502760828744792,0
MSME_00071,Meru,Retail,92,2,322524.6,252114.19,278852.83,103139.97,755394.83,180092.66,0.7816873761338635,0.3698710898107442,0.010752688172043012,0.5583825283946453,0
MSME_00072,Mombasa,Transport,111,1,33538.14,30243.77,781803.42,579950.76,0.0,25799.76,0.9017455426704442,0.7418105413115981,0.008928571428571428,0.7692433377838549,1
MSME_00073,Kisumu,Manufacturing,60,1,326430.6,231691.67,1973657.26,514905.18,7245.45,301682.03,0.7097709596742473,0.2608887214344797,0.01639344262295082,0.9241814517957209,0
MSME_00074,Nakuru,Transport,71,2,61566.48,37627.63,1909160.28,1002562.35,0.0,46005.53,0.6111607946272934,0.5251323502643004,0.013888888888888888,0.7472375026556227,0
MSME_00075,Nyeri,Construction,44,2,27253.88,24778.67,1289652.02,901369.98,0.0,17129.28,0.9091461785926043,0.6989244130176968,0.022222222222222223,0.628484880505803,1
MSME_00076,Meru,Retail,8,5,133385.63,114165.19,339601.11,99427.47,515821.36,77425.15,0.85589680165096,0.2927763611362721,0.1111111111111111,0.5804566019847716,0
MSME_00077,Nairobi,Construction,47,2,434869.19,417997.21,395631.77,332078.53,11149.41,222708.45,0.9611999617633024,0.8393605261768382,0.020833333333333332,0.5121262738197806,1
MSME_00078,Meru,Digital Commerce,35,25,50736.27,34535.43,342717.38,271842.85,45304.02,39597.64,0.6806718217200098,0.7931960054199602,0.027777777777777776,0.7804448288211013,1
MSME_00079,Kakamega,Construction,78,25,659366.38,700582.51,224748.16,67636.29,166737.23,495249.81,1.0625070806505472,0.30094123599839034,0.012658227848101266,0.7510984392342854,0
MSME_00080,Eldoret,Transport,81,3,256976.66,174852.53,221002.71,197070.43,13163.47,181882.08,0.6804191850762435,0.89170643334449,0.012195121951219513,0.7077738975442456,1
MSME_00081,Nakuru,Digital Commerce,36,15,155867.18,169932.48,197041.2,125187.54,169058.01,91524.76,1.090232015283684,0.6353336493400905,0.02702702702702703,0.5871933578745835,0
MSME_00082,Thika,Construction,50,5,86195.71,73028.16,1091583.73,359000.09,0.0,52276.35,0.8472267677037789,0.3288797288324105,0.0196078431372549,0.6064773237864879,0
MSME_00083,Kakamega,Agriculture,104,2,92420.37,83399.49,846780.32,546029.32,10865.92,86074.61,0.9023831825907797,0.6448291986412737,0.009523809523809525,0.9313280034693275,1
MSME_00084,Eldoret,Manufacturing,4,1,204877.44,223955.57,239870.85,151837.92,165362.92,104319.87,1.0931143852911025,0.6329959934856884,0.2,0.5091793455670591,1
MSME_00085,Eldoret,Retail,2,2,310531.57,237541.8,93547.15,54720.86,28690.95,206051.86,0.7649497120382573,0.5849486066800894,0.3333333333333333,0.6635434730727279,0
MSME_00086,Eldoret,Services,6,3,73607.62,51525.69,468269.89,313439.68,151171.56,38089.41,0.6999953266342992,0.6693554664480639,0.14285714285714285,0.5174585530879401,0
MSME_00087,Machakos,Manufacturing,54,10,59485.43,50274.91,4308354.61,1355634.77,15624.11,34870.73,0.8451492214274752,0.3146524782804546,0.01818181818181818,0.5861963812587174,0
MSME_00088,Kakamega,Digital Commerce,106,2,107599.7,79021.43,734725.26,648900.82,0.0,98982.18,0.7343951293997157,0.883187188654452,0.009345794392523364,0.9199027515620252,1
MSME_00089,Machakos,Food Services,4,15,536933.04,478039.08,1905189.65,1498082.26,21415.16,304603.86,0.8903124860550842,0.7863161936050862,0.2,0.5673021960015796,1
MSME_00090,Kakamega,Food Services,54,3,39462.72,29651.97,905330.31,630646.83,31361.87,30400.24,0.7513729065582262,0.6965923116035829,0.01818181818181818,0.7703338661433844,0
MSME_00091,Nakuru,Digital Commerce,93,1,417682.83,449205.04,680265.45,82342.05,45888.16,274052.27,1.0754666753558546,0.12104382040302003,0.010638297872340425,0.656123724013927,0
MSME_00092,Meru,Agriculture,63,50,139007.04,129836.54,124534.46,71272.1,68913.25,109102.69,0.9340218019044078,0.5723036635509277,0.015625,0.7848660408419541,0
MSME_00093,Machakos,Retail,18,2,25521.1,15316.04,447744.48,297833.89,381378.25,22546.98,0.600108925205998,0.6651856988037044,0.05263157894736842,0.8834296550832416,1
MSME_00094,Thika,Food Services,90,2,83982.83,87594.98,383944.88,300736.29,32076.61,52820.58,1.0429981580978147,0.7832778150920645,0.01098901098901099,0.6289374990399937,1
MSME_00095,Mombasa,Manufacturing,44,3,245160.43,191621.51,4314372.0,3697096.24,0.0,131254.09,0.7816136086332993,0.8569254999509779,0.022222222222222223,0.5353782199753037,1
MSME_00096,Meru,Digital Commerce,34,1,807593.36,626784.83,908785.88,756730.08,124223.89,477999.13,0.7761134315004379,0.8326815633605977,0.02857142857142857,0.5918802231357831,0
MSME_00097,Thika,Manufacturing,74,3,35334.93,28645.48,3378839.77,1435452.59,0.0,24649.31,0.8106615560988489,0.4248358202449416,0.013333333333333334,0.6975707162652858,0
MSME_00098,Machakos,Agriculture,62,2,7949.18,7525.05,2821941.59,2306093.35,0.0,5817.04,0.9465257390398708,0.8172006610524278,0.015873015873015872,0.7316865781655257,1
MSME_00099,Thika,Services,100,2,35970.24,30327.71,264316.66,26590.0,58397.37,33231.21,0.8431099400521083,0.10059865088091353,0.009900990099009901,0.9238272019535607,0
MSME_00100,Eldoret,Construction,14,25,412674.95,390287.15,730432.04,278426.21,124346.85,209327.67,0.9457472624707111,0.38117964926668707,0.06666666666666667,0.5072446552797661,1
MSME_00101,Nyeri,Food Services,95,2,22164.75,15088.2,5508783.17,1052755.21,149326.49,18639.05,0.6806988258912963,0.19110482050343242,0.010416666666666666,0.8408941723153964,0
MSME_00102,Nakuru,Transport,48,1,595557.9,675118.75,1433765.95,1156266.51,6767.12,317211.64,1.1335885501837013,0.8064535941493142,0.02040816326530612,0.5326284940078975,1
MSME_00103,Kakamega,Services,15,2,449013.82,449590.11,1333426.84,1123259.47,117518.74,240251.56,1.0012812271986924,0.8423848942586949,0.0625,0.5350637647104832,1
MSME_00104,Kisumu,Services,72,15,161302.42,118978.91,2183189.19,665450.77,0.0,128132.11,0.7376093451707347,0.3048065958925915,0.0136986301369863,0.7943545772309105,0
MSME_00105,Nyeri,Food Services,78,1,71227.53,71105.98,1298158.58,511277.63,58173.16,64747.22,0.9982794815504404,0.39384805834117864,0.012658227848101266,0.9090068263377049,0
MSME_00106,Mombasa,Agriculture,87,1,140823.22,129031.25,1405110.01,1246476.03,30961.1,88643.06,0.9162575159301433,0.8871014611151613,0.011363636363636364,0.6294589098380946,1
MSME_00107,Kakamega,Food Services,62,1,245508.62,162048.93,1048145.08,579467.82,84492.69,152506.95,0.660051243613183,0.5528502477440931,0.015873015873015872,0.6211852309494024,1
MSME_00108,Kisumu,Digital Commerce,40,1,210760.24,147112.34,485187.88,241451.16,0.0,163965.21,0.6980047185146567,0.497643639318362,0.024390243902439025,0.7779666223258128,0
MSME_00109,Nairobi,Services,85,10,758925.86,472597.92,204902.78,102522.77,41547.35,644575.75,0.6227186635613344,0.5003459184598742,0.011627906976744186,0.8493252564548842,0
MSME_00110,Nairobi,Retail,80,5,102733.91,107365.25,78563.18,51612.12,123759.44,91539.16,1.045070755403397,0.656942133170613,0.012345679012345678,0.8910229249239621,1
MSME_00111,Mombasa,Agriculture,109,2,36284.9,32781.14,491270.36,424278.0,17031.1,22219.7,0.9034126203291085,0.8636326774677034,0.00909090909090909,0.6123508029289614,1
MSME_00112,Nairobi,Services,82,3,30415.85,23548.31,1231723.86,484434.46,36833.33,25339.13,0.7741863473699612,0.3932976233020092,0.012048192771084338,0.8330622664740104,0
MSME_00113,Mombasa,Digital Commerce,111,2,24902.13,16671.72,971197.68,231267.77,0.0,15893.67,0.669462834591475,0.23812611648113027,0.008928571428571428,0.6382197739802186,0
MSME_00114,Nairobi,Services,53,25,162150.29,140458.67,1564526.38,388018.68,0.0,120828.78,0.8662198740447887,0.24801015626840614,0.018518518518518517,0.745160769303778,0
MSME_00115,Kisumu,Digital Commerce,24,25,105411.95,93700.02,627028.7,72915.43,0.0,61759.13,0.8888852840187094,0.11628704350049128,0.04,0.5858780159363721,1
MSME_00116,Meru,Digital Commerce,26,2,137675.48,135757.89,19122957.07,10409168.57,11898.69,77883.14,0.9860645042639091,0.5443283686497149,0.037037037037037035,0.5656967697024212,1
MSME_00117,Meru,Transport,89,10,77881.25,88275.71,8307827.1,7005938.88,60960.94,71719.8,1.1334509467818406,0.843293673830348,0.011111111111111112,0.9208747821230127,1
MSME_00118,Machakos,Manufacturing,60,5,43907.18,36847.79,118052.62,79149.74,374694.64,32765.28,0.8392010327005127,0.6704558487914222,0.01639344262295082,0.7462226856134779,0
MSME_00119,Meru,Digital Commerce,109,2,246307.46,202789.57,1603678.42,1434284.47,74803.09,123662.43,0.8233154882296776,0.8943710645111353,0.00909090909090909,0.5020632665236102,0
MSME_00120,Nakuru,Services,41,1,11349.58,9118.95,2332684.97,1930581.23,29693.87,9727.12,0.8033906637370073,0.8276215722256004,0.023809523809523808,0.8569711856134224,1
MSME_00121,Machakos,Food Services,29,2,59778.68,63055.04,57123.92,28189.86,0.0,48474.03,1.054790524137968,0.4934774525723625,0.03333333333333333,0.8108780441782224,1
MSME_00122,Eldoret,Digital Commerce,15,5,292579.05,200701.76,891143.75,435982.73,0.0,189195.44,0.6859721296786983,0.4892389592150994,0.0625,0.6466450463727791,0
MSME_00123,Nakuru,Construction,45,25,54130.96,42714.58,1356336.92,817444.98,89343.13,38367.15,0.7890824570179983,0.6026853396534103,0.021739130434782608,0.7087707520658776,0
MSME_00124,Nakuru,Manufacturing,65,5,197141.18,196891.59,724512.26,136750.59,71123.85,138480.99,0.9987288869383508,0.18874822249630047,0.015151515151515152,0.7024422170841369,0
MSME_00125,Mombasa,Digital Commerce,89,10,59858.63,36431.89,1159116.38,679413.04,6054.98,37330.62,0.6086220379243908,0.5861468835882696,0.011111111111111112,0.6236359964136097,0
MSME_00126,Kakamega,Agriculture,71,3,84470.29,64126.41,802009.84,377954.53,0.0,79507.72,0.7591503574764871,0.47125863036963445,0.013888888888888888,0.9412395619860903,1
MSME_00127,Meru,Manufacturing,9,10,236788.0,225610.64,1694833.99,1040954.06,0.0,176347.46,0.9527918948937663,0.6141919810140337,0.1,0.7447451528576073,1
MSME_00128,Meru,Construction,88,5,37128.93,26074.67,4676267.44,2582085.12,18951.67,33556.23,0.7022547578193656,0.5521678563003967,0.011235955056179775,0.9037515018207684,0
MSME_00129,Nairobi,Construction,1,2,280766.41,215204.87,1838936.63,640532.32,245708.82,214339.86,0.7664880692527669,0.34831650054384933,0.5,0.7634071917392407,1
MSME_00130,Nakuru,Construction,108,3,139514.04,121003.99,2988777.25,1752049.88,122399.83,113087.63,0.867318605936679,0.5862093917472799,0.009174311926605505,0.8105766231368317,0
MSME_00131,Meru,Construction,8,10,468100.77,389512.72,205068.03,80553.08,21182.57,240273.36,0.8321111881290257,0.3928095822172661,0.1111111111111111,0.5132929960935632,0
MSME_00132,Nakuru,Retail,88,1,164086.66,108020.7,8309483.93,2124709.39,41211.87,119835.5,0.6583109296579644,0.2556968822855787,0.011235955056179775,0.7303139066033363,0
MSME_00133,Mombasa,Construction,63,10,45730.16,51036.2,1064389.62,681269.68,0.0,37707.93,1.1160049296803316,0.6400560726474647,0.015625,0.8245566042934401,1
MSME_00134,Mombasa,Agriculture,11,1,750124.46,468348.46,456489.39,157524.3,113606.75,416197.83,0.6243601703640349,0.34507692483953495,0.08333333333333333,0.5548376267617954,0
MSME_00135,Kakamega,Agriculture,115,2,49714.76,50329.16,1200749.67,974071.94,11682.29,40032.62,1.0123381398574618,0.8112191517661198,0.008620689655172414,0.8052299713410798,1
MSME_00136,Meru,Food Services,81,10,106175.0,67875.82,379445.27,98453.13,0.0,57113.92,0.6392764843279084,0.25946527290938975,0.012195121951219513,0.53791742013261,0
MSME_00137,Nakuru,Services,8,1,347114.14,297481.22,860860.03,499398.01,0.0,299615.15,0.8570102128071969,0.5801145511256329,0.1111111111111111,0.8631578271117762,0
MSME_00138,Nairobi,Digital Commerce,35,1,20334.46,14162.47,1046904.44,583376.0,0.0,19114.45,0.6964420770417783,0.5572384837354556,0.027777777777777776,0.9399566078170841,0
MSME_00139,Nairobi,Agriculture,35,2,562231.51,380970.2,320141.77,82658.51,61977.77,439682.23,0.677602581181227,0.25819264948572784,0.027777777777777776,0.7820291821972372,0
MSME_00140,Nairobi,Retail,33,15,42155.3,28212.18,879351.99,397387.49,6807.64,22539.81,0.66922808690516,0.4519089541049949,0.029411764705882353,0.5346723977199137,0
MSME_00141,Machakos,Food Services,5,1,84541.73,71778.69,314538.26,201440.06,43064.77,64593.18,0.8490226185030931,0.640428988101517,0.16666666666666666,0.7640299763208499,0
MSME_00142,Nairobi,Retail,106,15,177878.84,157158.93,312117.18,110745.97,12142.53,148242.16,0.88351175715022,0.35482063236431793,0.009345794392523364,0.8333837044152952,1
MSME_00143,Eldoret,Transport,103,1,127809.24,86061.82,216828.88,41428.31,54924.63,117570.85,0.6733562193451793,0.19106365783166046,0.009615384615384616,0.9198859966149817,0
MSME_00144,Meru,Food Services,41,50,293365.94,334046.31,465819.31,275854.74,21533.06,152684.18,1.138663783996929,0.5921913108511735,0.023809523809523808,0.5204546224601858,1
MSME_00145,Nakuru,Agriculture,28,25,26881.47,19939.9,376686.59,105207.63,0.0,22816.16,0.741743597221535,0.2792967774701577,0.034482758620689655,0.8487374858039458,0
MSME_00146,Meru,Agriculture,7,2,275805.55,235086.37,1288067.37,831035.28,34718.67,154357.82,0.8523596339535809,0.6451794790986134,0.125,0.5596597325190429,1
MSME_00147,Eldoret,Agriculture,73,2,298714.15,214760.02,2718432.25,2097470.77,1698.59,255628.78,0.7189458586214994,0.7715733943439663,0.013513513513513514,0.8557610151343177,0
MSME_00148,Meru,Transport,72,2,372959.77,325093.16,1614449.1,320765.68,11548.0,335633.82,0.8716551073186597,0.19868417116143755,0.0136986301369863,0.8999172218568725,0
MSME_00149,Mombasa,Retail,12,3,27182.79,27612.53,2343128.66,1054612.41,0.0,24126.34,1.015771899356197,0.45008708993082347,0.07692307692307693,0.8875267208877055,0
MSME_00150,Machakos,Agriculture,34,1,30670.75,27192.87,2117616.57,965501.47,31081.46,24346.22,0.8865770619544042,0.4559375987799346,0.02857142857142857,0.7937669027688345,0
MSME_00151,Nyeri,Construction,33,1,94620.02,71637.47,239897.01,145384.48,23115.74,68632.11,0.7570988983209016,0.6060262025516594,0.029411764705882353,0.7253368226214428,1
MSME_00152,Nyeri,Services,48,1,34172.42,25172.02,488512.77,179541.31,64030.26,30535.25,0.7365964542032961,0.3675255868427209,0.02040816326530612,0.8935380187291762,0
MSME_00153,Kisumu,Services,119,2,21939.24,22321.29,6170498.58,2683274.16,0.0,16094.23,1.0173676313476971,0.4348552536486843,0.008333333333333333,0.733548493544282,0
